name,review
Make Money Writing Tips,
The Mastermind Play Book: Building A Richer Life,"Having been in one of Aaron Walker's masterminds for over 2 years now, I can say with certainty that he knows how to run masterminds.  The brief will not only inform you about masterminds and what they can do for your life, they will also up lift your day and change your life.  I highly recommend making this part of your daily listen and letting it change your life toward significance."
Thirty Second Money Tip with Nick True,These provide simple daily ways to be more cognizant of your money and spending habits.
Ethereum,Just asking “whats the price of Ethereum” works by default
Market Moment - Today in History,Why would you not listen to this?
Mastermind - AI Assistant for Software Dev Teams,Everything is good
Stock Analysis by Zacks Investment Research Inc,
TD Ameritrade,Great skill
Atlanta Real Estate,Love it!
News in 90,"This was helpful in hearing my favorite podcast, everyday from my smart speaker."
Experian,I have gone through settings and correctly logged in via Alexa app and it will not link my account
Mastermind - AI Assistant for Software Dev Teams,Cool
Cyberstates,Very cool skill with some great info. Gave me info about my State.
Indian Share Market,Super useful to find out the status of the share market 👍
Business Freedom Daily Briefing,"My daily 5 minute dose of business clarity and inspiration. Scott's insight, encouragement and processes are daily nuggets that not only give me actionable steps to build a profitable business but one where I can realize my dream of time freedom. I'm hooked and its become a vital part of my morning routine- right up there with coffee!"
Fox Business,Great source for true news on a daily basis. I'm glad it's available on Alexa.
The Voice of Social Sales,"Love the energy that Chelsea has to give us the latest social media news, tips  and strategies. Starting off the day with her latest info should be top priority IMHO."
The Myrtle Beach Real Estate Minute,"If you want to learn a little about the real estate market in South Carolina, give this a try.  We stay updated on a few areas that we are considering retiring to and use our Alexa to get updates on most of them."
Front Row Entrepreneur,Love the brief insights she gives! New goodness every single day and just enough so that I can decide which topics to dig into and which ones aren't a priority for me. Keep on keeping on Jen!
Mastermind - AI Assistant for Software Dev Teams,Yes
Cleveland Real Estate,"This is such an easy tool to use, whether buying or selling a home in the area!"
Small Business Marketing Tips,"Bobbi delivers easy to understand, yet powerful tips that will empower any small business! I’ve been getting lots of great new ideas since listening to the flash briefings. This is perfect for a busy business owner as you can listen at the comfort of your office—no need to travel or search the Internet for insight!"
Capital One,"Tells me I have an issue with my account and that I need to login  to Capital one to resolve, but I clicked thru every menu on CapOne and there are no issues and I can't find  anything online on how to resolve. Not cool."
SmartBrief News,
CNBC,try to get SEB (seaboard)
The Massive Agent Minute for Real Estate Agents,Dustin Brohm gives us things we can use today to get better with our real estate business and improve our marketing.
Sisense,
Oil Analysis,
Steal INFO,WHY would I want an advertisement skill?
Run To Your Leadership Challenges!,Paul has a wealth of leadership experience mixed with insights and observations that make for an entertaining and actionable listen.
The Pitch with Amy Summers,This briefing gives you a daily skill to help get your message out into the world...and it's free! Over 20 years of knowledge from Amy coming to you daily from your Alexa Product in your home or workplace. Fantastic!
Mastermind - AI Assistant for Software Dev Teams,Very good
Waste Management,
MAGA,need fox cable app. Truth will set you free.
Sharon Zeplin - Houston Real Estate,"Sharon is honest, trustworthy, she has experienced in most Houston areas. Call her to see how she can help you."
Get MY YTD points,
Front Row Entrepreneur,"I’ve been following Jen Lerner for probably a year. She is so motivated to help others learn and grow. And, to share with others when she herself learns something new. Definitely check it out."
Thirty Second Money Tip with Nick True,
The Bacon System Daily Sales & Marketing Minute,Start your morning off with a sizzle... GREAT one minute tips that anyone in business can easily and quickly apply! Starts with a sizzle... ends with a BANG! Add this to your morning Flash Brief routine TODAY!
Capital One,I love this for quick checking accounts. It's so fast and so helpful for right before I buy something online! It awesome to just ask you account balance and immediately get and answer. So much better than having to look it up or stop what I'm doing to go into the app.
Dave Sanderson: Declassified,
Foreign Exchange Rates,
Mastermind - AI Assistant for Software Dev Teams,Cool
